date,año,mes,dia,dia_semana,dia_semana_num,es_fin_semana,es_dia_pago,es_festivo,es_dia_habil,despues_festivo,antes_festivo,quincena,dias_desde_pago
2025-05-19,2025,5,19,Monday,0,False,False,False,True,False,False,2,3
2025-05-20,2025,5,20,Tuesday,1,False,False,False,True,False,False,2,4
2025-05-21,2025,5,21,Wednesday,2,False,False,False,True,False,False,2,5
2025-05-22,2025,5,22,Thursday,3,False,False,False,True,False,False,2,6
2025-05-23,2025,5,23,Friday,4,False,True,False,True,False,False,2,0
2025-05-24,2025,5,24,Saturday,5,True,False,False,False,False,False,2,1
2025-05-25,2025,5,25,Sunday,6,True,False,False,False,False,False,2,2
2025-05-26,2025,5,26,Monday,0,False,False,False,True,False,False,2,3
2025-05-27,2025,5,27,Tuesday,1,False,False,False,True,False,False,2,4
2025-05-28,2025,5,28,Wednesday,2,False,False,False,True,False,False,2,5
2025-05-29,2025,5,29,Thursday,3,False,False,False,True,False,False,2,6
2025-05-30,2025,5,30,Friday,4,False,True,False,True,False,False,2,0
2025-05-31,2025,5,31,Saturday,5,True,True,False,False,False,False,2,0
2025-06-01,2025,6,1,Sunday,6,True,True,False,False,False,False,1,0
2025-06-02,2025,6,2,Monday,0,False,False,False,True,False,False,1,1
2025-06-03,2025,6,3,Tuesday,1,False,False,False,True,False,False,1,2
2025-06-04,2025,6,4,Wednesday,2,False,False,False,True,False,False,1,3
2025-06-05,2025,6,5,Thursday,3,False,False,False,True,False,False,1,4
2025-06-06,2025,6,6,Friday,4,False,True,False,True,False,False,1,0
2025-06-07,2025,6,7,Saturday,5,True,False,False,False,False,False,1,1
2025-06-08,2025,6,8,Sunday,6,True,False,False,False,False,False,1,2
2025-06-09,2025,6,9,Monday,0,False,False,False,True,False,False,1,3
2025-06-10,2025,6,10,Tuesday,1,False,False,False,True,False,False,1,4
2025-06-11,2025,6,11,Wednesday,2,False,False,False,True,False,False,1,5
2025-06-12,2025,6,12,Thursday,3,False,False,False,True,False,False,1,6
2025-06-13,2025,6,13,Friday,4,False,True,False,True,False,False,1,0
2025-06-14,2025,6,14,Saturday,5,True,False,False,False,False,False,1,1
2025-06-15,2025,6,15,Sunday,6,True,True,False,False,False,False,1,0
2025-06-16,2025,6,16,Monday,0,False,False,False,True,False,False,2,1
2025-06-17,2025,6,17,Tuesday,1,False,False,False,True,False,False,2,2
2025-06-18,2025,6,18,Wednesday,2,False,False,False,True,False,False,2,3
2025-06-19,2025,6,19,Thursday,3,False,False,False,True,False,False,2,4
2025-06-20,2025,6,20,Friday,4,False,True,False,True,False,False,2,0
2025-06-21,2025,6,21,Saturday,5,True,False,False,False,False,False,2,1
2025-06-22,2025,6,22,Sunday,6,True,False,False,False,False,False,2,2
2025-06-23,2025,6,23,Monday,0,False,False,False,True,False,False,2,3
2025-06-24,2025,6,24,Tuesday,1,False,False,False,True,False,False,2,4
2025-06-25,2025,6,25,Wednesday,2,False,False,False,True,False,False,2,5
2025-06-26,2025,6,26,Thursday,3,False,False,False,True,False,False,2,6
2025-06-27,2025,6,27,Friday,4,False,True,False,True,False,False,2,0
2025-06-28,2025,6,28,Saturday,5,True,False,False,False,False,False,2,1
